[03:50:42] [INFO] [autotune.autotuner] Starting autotune run in C:\Users\Éanna Bonner\Documents\Programs\Masters\Block2\GeneticProgramming\EvolutionaryAlgorithms_MathlerSolver\tunes\tune_20251209_035042
[03:50:42] [INFO] [autotune.autotuner] Search strategy: random
[03:50:42] [INFO] [autotune.autotuner] Trials: 200, games_per_trial: 20, max_workers: 14
[04:04:12] [INFO] [autotune.autotuner] Trial  29: win_rate=0.60, avg_guesses=5.50, score=43.50, pop=1211, genome=27
[04:04:13] [INFO] [autotune.autotuner] Trial  38: win_rate=0.40, avg_guesses=7.00, score=19.00, pop=547, genome=14
[04:04:25] [INFO] [autotune.autotuner] Trial  26: win_rate=0.40, avg_guesses=6.40, score=20.80, pop=1490, genome=10
[04:04:30] [INFO] [autotune.autotuner] Trial  43: win_rate=0.70, avg_guesses=4.20, score=57.40, pop=718, genome=19
[04:04:32] [INFO] [autotune.autotuner] Trial  40: win_rate=0.75, avg_guesses=4.45, score=61.65, pop=861, genome=21
[04:04:49] [INFO] [autotune.autotuner] Trial  49: win_rate=0.45, avg_guesses=6.85, score=24.45, pop=580, genome=14
[04:04:59] [INFO] [autotune.autotuner] Trial  47: win_rate=0.35, avg_guesses=7.15, score=13.55, pop=366, genome=24
[04:05:34] [INFO] [autotune.autotuner] Trial  54: win_rate=0.65, avg_guesses=5.45, score=48.65, pop=585, genome=18
[04:05:39] [INFO] [autotune.autotuner] Trial  50: win_rate=0.50, avg_guesses=6.35, score=30.95, pop=1464, genome=30
[04:05:42] [INFO] [autotune.autotuner] Trial  34: win_rate=0.60, avg_guesses=5.30, score=44.10, pop=1234, genome=10
[04:06:30] [INFO] [autotune.autotuner] Trial  57: win_rate=0.25, avg_guesses=8.40, score=-0.20, pop=863, genome=24
[04:06:51] [INFO] [autotune.autotuner] Trial  60: win_rate=0.30, avg_guesses=8.20, score=5.40, pop=337, genome=30
[04:07:04] [INFO] [autotune.autotuner] Trial  56: win_rate=0.30, avg_guesses=8.10, score=5.70, pop=477, genome=13
[04:07:08] [INFO] [autotune.autotuner] Trial  48: win_rate=0.45, avg_guesses=7.00, score=24.00, pop=630, genome=25
[04:07:20] [INFO] [autotune.autotuner] Trial  36: win_rate=0.70, avg_guesses=5.30, score=54.10, pop=1496, genome=28
[04:08:05] [INFO] [autotune.autotuner] Trial  52: win_rate=0.75, avg_guesses=4.50, score=61.50, pop=1233, genome=14
[04:08:09] [INFO] [autotune.autotuner] Trial  61: win_rate=0.45, avg_guesses=6.65, score=25.05, pop=501, genome=26
[04:08:31] [INFO] [autotune.autotuner] Trial  65: win_rate=0.30, avg_guesses=7.85, score=6.45, pop=303, genome=17
[04:08:32] [INFO] [autotune.autotuner] Trial  63: win_rate=0.55, avg_guesses=6.10, score=36.70, pop=539, genome=18
[04:08:52] [INFO] [autotune.autotuner] Trial  59: win_rate=0.30, avg_guesses=8.30, score=5.10, pop=1422, genome=14
[04:08:57] [INFO] [autotune.autotuner] Trial  55: win_rate=0.70, avg_guesses=5.20, score=54.40, pop=799, genome=23
[04:09:24] [INFO] [autotune.autotuner] Trial  68: win_rate=0.75, avg_guesses=5.00, score=60.00, pop=730, genome=29
[04:09:25] [INFO] [autotune.autotuner] Trial  53: win_rate=0.55, avg_guesses=5.75, score=37.75, pop=1329, genome=13
[04:09:29] [INFO] [autotune.autotuner] Trial  46: win_rate=0.65, avg_guesses=4.95, score=50.15, pop=1215, genome=22
[04:09:34] [INFO] [autotune.autotuner] Trial  67: win_rate=0.50, avg_guesses=5.95, score=32.15, pop=366, genome=21
[04:10:01] [INFO] [autotune.autotuner] Trial  58: win_rate=0.70, avg_guesses=4.75, score=55.75, pop=938, genome=21
[04:10:08] [INFO] [autotune.autotuner] Trial  66: win_rate=0.70, avg_guesses=5.00, score=55.00, pop=1498, genome=21
[04:10:29] [INFO] [autotune.autotuner] Trial  51: win_rate=0.70, avg_guesses=4.65, score=56.05, pop=1308, genome=20
[04:10:34] [INFO] [autotune.autotuner] Trial  70: win_rate=0.60, avg_guesses=6.10, score=41.70, pop=904, genome=29
[04:10:34] [INFO] [autotune.autotuner] Trial  77: win_rate=0.30, avg_guesses=7.90, score=6.30, pop=362, genome=30
[04:10:48] [INFO] [autotune.autotuner] Trial  64: win_rate=0.35, avg_guesses=7.50, score=12.50, pop=503, genome=12
[04:11:13] [INFO] [autotune.autotuner] Trial  72: win_rate=0.70, avg_guesses=5.05, score=54.85, pop=824, genome=20
[04:11:42] [INFO] [autotune.autotuner] Trial  78: win_rate=0.75, avg_guesses=3.95, score=63.15, pop=436, genome=26
[04:11:50] [INFO] [autotune.autotuner] Trial  71: win_rate=0.35, avg_guesses=8.00, score=11.00, pop=1278, genome=15
[04:11:54] [INFO] [autotune.autotuner] Trial  82: win_rate=0.35, avg_guesses=7.80, score=11.60, pop=511, genome=16
[04:11:55] [INFO] [autotune.autotuner] Trial  74: win_rate=0.50, avg_guesses=6.95, score=29.15, pop=586, genome=15
[04:12:12] [INFO] [autotune.autotuner] Trial  76: win_rate=0.70, avg_guesses=5.35, score=53.95, pop=1425, genome=18
[04:12:13] [INFO] [autotune.autotuner] Trial  73: win_rate=0.65, avg_guesses=5.05, score=49.85, pop=613, genome=20
[04:13:12] [INFO] [autotune.autotuner] Trial  84: win_rate=0.60, avg_guesses=5.65, score=43.05, pop=683, genome=21
[04:13:13] [INFO] [autotune.autotuner] Trial  90: win_rate=0.60, avg_guesses=5.15, score=44.55, pop=636, genome=30
[04:13:32] [INFO] [autotune.autotuner] Trial  85: win_rate=0.65, avg_guesses=5.15, score=49.55, pop=478, genome=25
[04:13:53] [INFO] [autotune.autotuner] Trial  80: win_rate=0.60, avg_guesses=5.35, score=43.95, pop=561, genome=18
[04:13:53] [INFO] [autotune.autotuner] Trial  89: win_rate=0.35, avg_guesses=7.50, score=12.50, pop=466, genome=10
[04:14:03] [INFO] [autotune.autotuner] Trial  81: win_rate=0.45, avg_guesses=6.60, score=25.20, pop=778, genome=22
[04:14:10] [INFO] [autotune.autotuner] Trial  62: win_rate=0.55, avg_guesses=5.95, score=37.15, pop=1302, genome=27
[04:14:36] [INFO] [autotune.autotuner] Trial  79: win_rate=0.55, avg_guesses=5.75, score=37.75, pop=1162, genome=29
[04:14:51] [INFO] [autotune.autotuner] Trial  87: win_rate=0.60, avg_guesses=5.40, score=43.80, pop=493, genome=25
[04:15:14] [INFO] [autotune.autotuner] Trial  91: win_rate=0.45, avg_guesses=6.70, score=24.90, pop=472, genome=14
[04:15:37] [INFO] [autotune.autotuner] Trial  94: win_rate=0.45, avg_guesses=6.65, score=25.05, pop=922, genome=23
[04:15:42] [INFO] [autotune.autotuner] Trial  75: win_rate=0.70, avg_guesses=5.20, score=54.40, pop=1163, genome=11
[04:15:55] [INFO] [autotune.autotuner] Trial  96: win_rate=0.45, avg_guesses=6.80, score=24.60, pop=355, genome=10
[04:16:42] [INFO] [autotune.autotuner] Trial  95: win_rate=0.45, avg_guesses=6.95, score=24.15, pop=1104, genome=23
[04:16:42] [INFO] [autotune.autotuner] Trial 103: win_rate=0.30, avg_guesses=7.75, score=6.75, pop=377, genome=13
[04:16:47] [INFO] [autotune.autotuner] Trial  97: win_rate=0.90, avg_guesses=3.00, score=81.00, pop=831, genome=17
[04:16:47] [INFO] [autotune.autotuner] New best trial: 97 (score=81.00, win_rate=0.90, avg_guesses=3.00)
[04:16:49] [INFO] [autotune.autotuner] Trial  86: win_rate=0.40, avg_guesses=6.95, score=19.15, pop=923, genome=27
[04:16:49] [INFO] [autotune.autotuner] Trial  88: win_rate=0.55, avg_guesses=5.50, score=38.50, pop=915, genome=25
[04:17:10] [INFO] [autotune.autotuner] Trial  98: win_rate=0.65, avg_guesses=4.80, score=50.60, pop=1365, genome=30
[04:17:12] [INFO] [autotune.autotuner] Trial  69: win_rate=0.60, avg_guesses=5.35, score=43.95, pop=1366, genome=12
[04:17:23] [INFO] [autotune.autotuner] Trial  92: win_rate=0.70, avg_guesses=4.45, score=56.65, pop=724, genome=13
[04:17:53] [INFO] [autotune.autotuner] Trial  83: win_rate=0.45, avg_guesses=6.65, score=25.05, pop=992, genome=21
[04:18:23] [INFO] [autotune.autotuner] Trial 101: win_rate=0.40, avg_guesses=7.20, score=18.40, pop=1253, genome=18
[04:18:29] [INFO] [autotune.autotuner] Trial 105: win_rate=0.70, avg_guesses=5.00, score=55.00, pop=357, genome=20
[04:19:08] [INFO] [autotune.autotuner] Trial 108: win_rate=0.55, avg_guesses=5.85, score=37.45, pop=1014, genome=21
[04:19:30] [INFO] [autotune.autotuner] Trial 102: win_rate=0.45, avg_guesses=6.65, score=25.05, pop=1059, genome=30
[04:19:32] [INFO] [autotune.autotuner] Trial 100: win_rate=0.55, avg_guesses=6.00, score=37.00, pop=586, genome=23
[04:19:34] [INFO] [autotune.autotuner] Trial  93: win_rate=0.50, avg_guesses=6.30, score=31.10, pop=1018, genome=26
[04:19:35] [INFO] [autotune.autotuner] Trial  99: win_rate=0.55, avg_guesses=5.35, score=38.95, pop=1074, genome=17
[04:19:35] [INFO] [autotune.autotuner] Trial 109: win_rate=0.50, avg_guesses=6.10, score=31.70, pop=543, genome=22
[04:19:38] [INFO] [autotune.autotuner] Trial 104: win_rate=0.60, avg_guesses=5.05, score=44.85, pop=929, genome=12
[04:19:41] [INFO] [autotune.autotuner] Trial 106: win_rate=0.50, avg_guesses=6.15, score=31.55, pop=477, genome=27
[04:19:59] [INFO] [autotune.autotuner] Trial 112: win_rate=0.60, avg_guesses=5.40, score=43.80, pop=358, genome=28
[04:20:37] [INFO] [autotune.autotuner] Trial 111: win_rate=0.60, avg_guesses=5.45, score=43.65, pop=709, genome=24
[04:21:15] [INFO] [autotune.autotuner] Trial 107: win_rate=0.65, avg_guesses=4.30, score=52.10, pop=1355, genome=14
[04:21:16] [INFO] [autotune.autotuner] Trial 119: win_rate=0.45, avg_guesses=6.75, score=24.75, pop=524, genome=28
[04:21:26] [INFO] [autotune.autotuner] Trial 117: win_rate=0.55, avg_guesses=5.90, score=37.30, pop=885, genome=18
[04:21:44] [INFO] [autotune.autotuner] Trial 122: win_rate=0.35, avg_guesses=7.80, score=11.60, pop=956, genome=13
[04:21:47] [INFO] [autotune.autotuner] Trial 114: win_rate=0.55, avg_guesses=5.45, score=38.65, pop=1295, genome=15
[04:22:01] [INFO] [autotune.autotuner] Trial 120: win_rate=0.40, avg_guesses=6.75, score=19.75, pop=808, genome=29
[04:22:58] [INFO] [autotune.autotuner] Trial 121: win_rate=0.55, avg_guesses=5.65, score=38.05, pop=1315, genome=29
[04:23:05] [INFO] [autotune.autotuner] Trial 123: win_rate=0.45, avg_guesses=6.65, score=25.05, pop=1310, genome=10
[04:23:11] [INFO] [autotune.autotuner] Trial 130: win_rate=0.20, avg_guesses=8.70, score=-6.10, pop=511, genome=26
[04:23:13] [INFO] [autotune.autotuner] Trial 116: win_rate=0.65, avg_guesses=5.20, score=49.40, pop=826, genome=20
[04:23:44] [INFO] [autotune.autotuner] Trial 110: win_rate=0.50, avg_guesses=6.70, score=29.90, pop=1137, genome=12
[04:23:49] [INFO] [autotune.autotuner] Trial 113: win_rate=0.60, avg_guesses=5.50, score=43.50, pop=1033, genome=15
[04:24:03] [INFO] [autotune.autotuner] Trial 124: win_rate=0.35, avg_guesses=7.40, score=12.80, pop=545, genome=20
[04:24:44] [INFO] [autotune.autotuner] Trial 126: win_rate=0.50, avg_guesses=6.30, score=31.10, pop=577, genome=30
[04:24:47] [INFO] [autotune.autotuner] Trial 129: win_rate=0.55, avg_guesses=5.75, score=37.75, pop=947, genome=19
[04:25:25] [INFO] [autotune.autotuner] Trial 137: win_rate=0.65, avg_guesses=6.00, score=47.00, pop=768, genome=21
[04:25:25] [INFO] [autotune.autotuner] Trial 127: win_rate=0.65, avg_guesses=5.15, score=49.55, pop=703, genome=10
[04:25:28] [INFO] [autotune.autotuner] Trial 133: win_rate=0.70, avg_guesses=4.90, score=55.30, pop=400, genome=16
[04:26:08] [INFO] [autotune.autotuner] Trial 132: win_rate=0.85, avg_guesses=3.55, score=74.35, pop=640, genome=28
[04:26:15] [INFO] [autotune.autotuner] Trial 135: win_rate=0.65, avg_guesses=5.75, score=47.75, pop=1400, genome=30
[04:26:30] [INFO] [autotune.autotuner] Trial 134: win_rate=0.45, avg_guesses=7.10, score=23.70, pop=851, genome=27
[04:26:53] [INFO] [autotune.autotuner] Trial 138: win_rate=0.40, avg_guesses=7.05, score=18.85, pop=484, genome=16
[04:26:55] [INFO] [autotune.autotuner] Trial 141: win_rate=0.60, avg_guesses=5.35, score=43.95, pop=845, genome=29
[04:27:08] [INFO] [autotune.autotuner] Trial 144: win_rate=0.60, avg_guesses=5.50, score=43.50, pop=349, genome=21
[04:27:16] [INFO] [autotune.autotuner] Trial 140: win_rate=0.45, avg_guesses=6.40, score=25.80, pop=330, genome=30
[04:27:18] [INFO] [autotune.autotuner] Trial 142: win_rate=0.50, avg_guesses=6.50, score=30.50, pop=368, genome=12
[04:27:20] [INFO] [autotune.autotuner] Trial 131: win_rate=0.40, avg_guesses=7.10, score=18.70, pop=1448, genome=16
[04:27:21] [INFO] [autotune.autotuner] Trial 128: win_rate=0.55, avg_guesses=6.30, score=36.10, pop=1243, genome=26
[04:27:29] [INFO] [autotune.autotuner] Trial 118: win_rate=0.50, avg_guesses=6.30, score=31.10, pop=1100, genome=10
[04:27:32] [INFO] [autotune.autotuner] Trial 136: win_rate=0.40, avg_guesses=7.10, score=18.70, pop=1339, genome=16
[04:27:37] [INFO] [autotune.autotuner] Trial 115: win_rate=0.70, avg_guesses=5.35, score=53.95, pop=1403, genome=21
[04:27:42] [INFO] [autotune.autotuner] Trial 125: win_rate=0.40, avg_guesses=6.80, score=19.60, pop=1146, genome=12
[04:28:23] [INFO] [autotune.autotuner] Trial 150: win_rate=0.60, avg_guesses=5.70, score=42.90, pop=316, genome=26
[04:28:39] [INFO] [autotune.autotuner] Trial 146: win_rate=0.75, avg_guesses=4.30, score=62.10, pop=376, genome=27
[04:28:47] [INFO] [autotune.autotuner] Trial 139: win_rate=0.65, avg_guesses=5.80, score=47.60, pop=1249, genome=15
[04:29:26] [INFO] [autotune.autotuner] Trial 153: win_rate=0.75, avg_guesses=4.35, score=61.95, pop=628, genome=24
[04:29:48] [INFO] [autotune.autotuner] Trial 152: win_rate=0.65, avg_guesses=5.20, score=49.40, pop=548, genome=29
[04:30:24] [INFO] [autotune.autotuner] Trial 147: win_rate=0.60, avg_guesses=5.85, score=42.45, pop=939, genome=10
[04:30:44] [INFO] [autotune.autotuner] Trial 154: win_rate=0.40, avg_guesses=7.60, score=17.20, pop=1242, genome=14
[04:30:46] [INFO] [autotune.autotuner] Trial 143: win_rate=0.70, avg_guesses=4.50, score=56.50, pop=1491, genome=14
[04:30:51] [INFO] [autotune.autotuner] Trial 148: win_rate=0.65, avg_guesses=4.95, score=50.15, pop=1272, genome=21
[04:30:57] [INFO] [autotune.autotuner] Trial 151: win_rate=0.50, avg_guesses=6.10, score=31.70, pop=656, genome=30
[04:31:04] [INFO] [autotune.autotuner] Trial 158: win_rate=0.45, avg_guesses=6.70, score=24.90, pop=422, genome=18
[04:31:37] [INFO] [autotune.autotuner] Trial 161: win_rate=0.55, avg_guesses=6.20, score=36.40, pop=543, genome=20
[04:31:56] [INFO] [autotune.autotuner] Trial 157: win_rate=0.45, avg_guesses=6.40, score=25.80, pop=1244, genome=18
[04:32:10] [INFO] [autotune.autotuner] Trial 166: win_rate=0.40, avg_guesses=6.90, score=19.30, pop=395, genome=23
[04:32:13] [INFO] [autotune.autotuner] Trial 159: win_rate=0.75, avg_guesses=3.75, score=63.75, pop=1124, genome=16
[04:32:37] [INFO] [autotune.autotuner] Trial 155: win_rate=0.55, avg_guesses=6.05, score=36.85, pop=823, genome=27
[04:32:40] [INFO] [autotune.autotuner] Trial 145: win_rate=0.35, avg_guesses=7.35, score=12.95, pop=820, genome=15
[04:32:58] [INFO] [autotune.autotuner] Trial 149: win_rate=0.55, avg_guesses=5.95, score=37.15, pop=881, genome=22
[04:33:13] [INFO] [autotune.autotuner] Trial 162: win_rate=0.50, avg_guesses=6.35, score=30.95, pop=545, genome=20
[04:33:34] [INFO] [autotune.autotuner] Trial 165: win_rate=0.50, avg_guesses=6.00, score=32.00, pop=1347, genome=22
[04:33:35] [INFO] [autotune.autotuner] Trial 169: win_rate=0.65, avg_guesses=4.50, score=51.50, pop=1281, genome=18
[04:33:51] [INFO] [autotune.autotuner] Trial 171: win_rate=0.80, avg_guesses=4.35, score=66.95, pop=687, genome=16
[04:34:17] [INFO] [autotune.autotuner] Trial 156: win_rate=0.60, avg_guesses=5.00, score=45.00, pop=1484, genome=25
[04:34:28] [INFO] [autotune.autotuner] Trial 160: win_rate=0.30, avg_guesses=7.70, score=6.90, pop=1271, genome=24
[04:35:01] [INFO] [autotune.autotuner] Trial 163: win_rate=0.55, avg_guesses=5.75, score=37.75, pop=790, genome=30
[04:35:15] [INFO] [autotune.autotuner] Trial 172: win_rate=0.55, avg_guesses=5.75, score=37.75, pop=460, genome=22
[04:35:24] [INFO] [autotune.autotuner] Trial 170: win_rate=0.45, avg_guesses=7.00, score=24.00, pop=454, genome=30
[04:35:29] [INFO] [autotune.autotuner] Trial 176: win_rate=0.75, avg_guesses=4.10, score=62.70, pop=542, genome=25
[04:35:51] [INFO] [autotune.autotuner] Trial 178: win_rate=0.40, avg_guesses=7.50, score=17.50, pop=885, genome=21
[04:36:13] [INFO] [autotune.autotuner] Trial 173: win_rate=0.70, avg_guesses=4.40, score=56.80, pop=1008, genome=12
[04:36:20] [INFO] [autotune.autotuner] Trial 180: win_rate=0.50, avg_guesses=6.40, score=30.80, pop=1078, genome=28
[04:36:26] [INFO] [autotune.autotuner] Trial 177: win_rate=0.75, avg_guesses=4.10, score=62.70, pop=612, genome=15
[04:36:45] [INFO] [autotune.autotuner] Trial 174: win_rate=0.55, avg_guesses=5.65, score=38.05, pop=979, genome=25
[04:36:49] [INFO] [autotune.autotuner] Trial 182: win_rate=0.65, avg_guesses=5.10, score=49.70, pop=395, genome=26
[04:36:56] [INFO] [autotune.autotuner] Trial 168: win_rate=0.45, avg_guesses=7.15, score=23.55, pop=850, genome=28
[04:37:03] [INFO] [autotune.autotuner] Trial 164: win_rate=0.60, avg_guesses=5.70, score=42.90, pop=1473, genome=24
[04:37:25] [INFO] [autotune.autotuner] Trial 179: win_rate=0.65, avg_guesses=5.30, score=49.10, pop=588, genome=21
[04:37:27] [INFO] [autotune.autotuner] Trial 181: win_rate=0.65, avg_guesses=5.15, score=49.55, pop=538, genome=12
[04:38:00] [INFO] [autotune.autotuner] Trial 187: win_rate=0.70, avg_guesses=4.00, score=58.00, pop=456, genome=10
[04:38:01] [INFO] [autotune.autotuner] Trial 184: win_rate=0.25, avg_guesses=8.35, score=-0.05, pop=826, genome=18
[04:38:16] [INFO] [autotune.autotuner] Trial 167: win_rate=0.50, avg_guesses=6.05, score=31.85, pop=1044, genome=10
[04:38:18] [INFO] [autotune.autotuner] Trial 175: win_rate=0.50, avg_guesses=6.65, score=30.05, pop=1251, genome=23
[04:38:38] [INFO] [autotune.autotuner] Trial 188: win_rate=0.65, avg_guesses=5.30, score=49.10, pop=673, genome=29
[04:39:13] [INFO] [autotune.autotuner] Trial 185: win_rate=0.20, avg_guesses=8.45, score=-5.35, pop=467, genome=11
[04:39:16] [INFO] [autotune.autotuner] Trial 191: win_rate=0.60, avg_guesses=5.30, score=44.10, pop=383, genome=24
[04:39:18] [INFO] [autotune.autotuner] Trial 194: win_rate=0.65, avg_guesses=5.20, score=49.40, pop=350, genome=11
[04:39:30] [INFO] [autotune.autotuner] Trial 189: win_rate=0.70, avg_guesses=4.80, score=55.60, pop=927, genome=24
[04:39:48] [INFO] [autotune.autotuner] Trial 195: win_rate=0.35, avg_guesses=7.30, score=13.10, pop=316, genome=29
[04:39:49] [INFO] [autotune.autotuner] Trial 183: win_rate=0.60, avg_guesses=5.35, score=43.95, pop=1113, genome=12
[04:39:52] [INFO] [autotune.autotuner] Trial 192: win_rate=0.50, avg_guesses=6.30, score=31.10, pop=1352, genome=18
[04:39:55] [INFO] [autotune.autotuner] Trial 186: win_rate=0.90, avg_guesses=2.90, score=81.30, pop=1239, genome=21
[04:39:55] [INFO] [autotune.autotuner] New best trial: 186 (score=81.30, win_rate=0.90, avg_guesses=2.90)
[04:40:39] [INFO] [autotune.autotuner] Trial 199: win_rate=0.80, avg_guesses=4.05, score=67.85, pop=1070, genome=23
[04:41:01] [INFO] [autotune.autotuner] Trial 196: win_rate=0.60, avg_guesses=5.45, score=43.65, pop=615, genome=28
[04:41:30] [INFO] [autotune.autotuner] Trial 190: win_rate=0.45, avg_guesses=6.25, score=26.25, pop=909, genome=26
[04:42:06] [INFO] [autotune.autotuner] Trial 197: win_rate=0.30, avg_guesses=8.00, score=6.00, pop=1366, genome=28
[04:42:29] [INFO] [autotune.autotuner] Trial 193: win_rate=0.30, avg_guesses=8.00, score=6.00, pop=897, genome=14
[04:42:45] [INFO] [autotune.autotuner] Trial 198: win_rate=0.75, avg_guesses=4.10, score=62.70, pop=1144, genome=23
[04:42:45] [INFO] [autotune.autotuner] Autotune run complete. Results in C:\Users\Éanna Bonner\Documents\Programs\Masters\Block2\GeneticProgramming\EvolutionaryAlgorithms_MathlerSolver\tunes\tune_20251209_035042
