[10:36:56] [INFO] [autotune.autotuner] Starting autotune run in C:\Users\Éanna Bonner\Documents\Programs\Masters\Block2\GeneticProgramming\EvolutionaryAlgorithms_MathlerSolver\tunes\tune_20251208_103656
[10:36:56] [INFO] [autotune.autotuner] Search strategy: random
[10:36:56] [INFO] [autotune.autotuner] Trials: 200, games_per_trial: 20, max_workers: 14
[10:54:13] [INFO] [autotune.autotuner] Trial  66: win_rate=0.20, avg_guesses=1.50, score=15.50, pop=425, genome=23
[10:54:28] [INFO] [autotune.autotuner] Trial  64: win_rate=0.25, avg_guesses=1.60, score=20.20, pop=857, genome=28
[10:54:44] [INFO] [autotune.autotuner] Trial  55: win_rate=0.35, avg_guesses=1.71, score=29.86, pop=1391, genome=20
[10:54:48] [INFO] [autotune.autotuner] Trial  62: win_rate=0.25, avg_guesses=1.00, score=22.00, pop=587, genome=15
[10:55:44] [INFO] [autotune.autotuner] Trial  61: win_rate=0.30, avg_guesses=1.00, score=27.00, pop=779, genome=14
[10:56:22] [INFO] [autotune.autotuner] Trial  49: win_rate=0.10, avg_guesses=1.50, score=5.50, pop=1249, genome=21
[10:56:36] [INFO] [autotune.autotuner] Trial  73: win_rate=0.30, avg_guesses=2.67, score=22.00, pop=518, genome=13
[10:56:53] [INFO] [autotune.autotuner] Trial  67: win_rate=0.20, avg_guesses=1.00, score=17.00, pop=701, genome=18
[10:56:54] [INFO] [autotune.autotuner] Trial  70: win_rate=0.20, avg_guesses=1.00, score=17.00, pop=1234, genome=14
[10:56:54] [INFO] [autotune.autotuner] Trial  65: win_rate=0.35, avg_guesses=1.00, score=32.00, pop=950, genome=22
[10:57:09] [INFO] [autotune.autotuner] Trial  59: win_rate=0.45, avg_guesses=1.56, score=40.33, pop=1207, genome=22
[10:57:41] [INFO] [autotune.autotuner] Trial  69: win_rate=0.25, avg_guesses=1.20, score=21.40, pop=973, genome=10
[10:57:44] [INFO] [autotune.autotuner] Trial  63: win_rate=0.20, avg_guesses=1.25, score=16.25, pop=1033, genome=30
[10:58:02] [INFO] [autotune.autotuner] Trial  60: win_rate=0.30, avg_guesses=1.00, score=27.00, pop=1246, genome=18
[10:58:36] [INFO] [autotune.autotuner] Trial  81: win_rate=0.20, avg_guesses=1.50, score=15.50, pop=558, genome=28
[10:58:45] [INFO] [autotune.autotuner] Trial  71: win_rate=0.45, avg_guesses=1.11, score=41.67, pop=991, genome=25
[10:58:56] [INFO] [autotune.autotuner] Trial  72: win_rate=0.10, avg_guesses=3.50, score=-0.50, pop=881, genome=20
[10:59:04] [INFO] [autotune.autotuner] Trial  68: win_rate=0.30, avg_guesses=1.83, score=24.50, pop=1197, genome=18
[10:59:04] [INFO] [autotune.autotuner] Trial  82: win_rate=0.15, avg_guesses=2.00, score=9.00, pop=339, genome=18
[10:59:10] [INFO] [autotune.autotuner] Trial  77: win_rate=0.20, avg_guesses=1.50, score=15.50, pop=509, genome=28
[10:59:31] [INFO] [autotune.autotuner] Trial  83: win_rate=0.25, avg_guesses=1.60, score=20.20, pop=539, genome=28
[10:59:34] [INFO] [autotune.autotuner] Trial  79: win_rate=0.25, avg_guesses=2.00, score=19.00, pop=492, genome=13
[11:00:38] [INFO] [autotune.autotuner] Trial  85: win_rate=0.10, avg_guesses=1.50, score=5.50, pop=317, genome=19
[11:01:02] [INFO] [autotune.autotuner] Trial  84: win_rate=0.05, avg_guesses=1.00, score=2.00, pop=459, genome=18
[11:01:16] [INFO] [autotune.autotuner] Trial  93: win_rate=0.20, avg_guesses=2.00, score=14.00, pop=353, genome=28
[11:01:29] [INFO] [autotune.autotuner] Trial  86: win_rate=0.35, avg_guesses=1.00, score=32.00, pop=662, genome=20
[11:01:32] [INFO] [autotune.autotuner] Trial  75: win_rate=0.30, avg_guesses=1.33, score=26.00, pop=1173, genome=19
[11:01:54] [INFO] [autotune.autotuner] Trial  88: win_rate=0.30, avg_guesses=1.17, score=26.50, pop=1420, genome=12
[11:02:14] [INFO] [autotune.autotuner] Trial  89: win_rate=0.05, avg_guesses=1.00, score=2.00, pop=1276, genome=20
[11:02:32] [INFO] [autotune.autotuner] Trial  92: win_rate=0.40, avg_guesses=2.75, score=31.75, pop=693, genome=11
[11:02:45] [INFO] [autotune.autotuner] Trial  90: win_rate=0.35, avg_guesses=1.14, score=31.57, pop=856, genome=18
[11:02:55] [INFO] [autotune.autotuner] Trial  74: win_rate=0.35, avg_guesses=1.29, score=31.14, pop=1422, genome=18
[11:03:13] [INFO] [autotune.autotuner] Trial  76: win_rate=0.20, avg_guesses=1.25, score=16.25, pop=1243, genome=16
[11:03:17] [INFO] [autotune.autotuner] Trial  94: win_rate=0.10, avg_guesses=1.00, score=7.00, pop=950, genome=13
[11:03:39] [INFO] [autotune.autotuner] Trial  95: win_rate=0.25, avg_guesses=1.20, score=21.40, pop=733, genome=18
[11:03:49] [INFO] [autotune.autotuner] Trial  97: win_rate=0.30, avg_guesses=1.50, score=25.50, pop=694, genome=15
[11:03:56] [INFO] [autotune.autotuner] Trial  87: win_rate=0.05, avg_guesses=1.00, score=2.00, pop=686, genome=25
[11:04:35] [INFO] [autotune.autotuner] Trial  98: win_rate=0.20, avg_guesses=2.50, score=12.50, pop=1385, genome=29
[11:04:47] [INFO] [autotune.autotuner] Trial 101: win_rate=0.15, avg_guesses=2.67, score=7.00, pop=321, genome=29
[11:05:04] [INFO] [autotune.autotuner] Trial 103: win_rate=0.35, avg_guesses=2.14, score=28.57, pop=352, genome=22
[11:05:07] [INFO] [autotune.autotuner] Trial  80: win_rate=0.30, avg_guesses=1.17, score=26.50, pop=1320, genome=24
[11:05:19] [INFO] [autotune.autotuner] Trial 106: win_rate=0.25, avg_guesses=1.20, score=21.40, pop=364, genome=25
[11:05:21] [INFO] [autotune.autotuner] Trial 104: win_rate=0.15, avg_guesses=2.67, score=7.00, pop=818, genome=25
[11:05:25] [INFO] [autotune.autotuner] Trial  91: win_rate=0.15, avg_guesses=1.33, score=11.00, pop=779, genome=25
[11:06:43] [INFO] [autotune.autotuner] Trial 107: win_rate=0.10, avg_guesses=3.00, score=1.00, pop=695, genome=11
[11:07:16] [INFO] [autotune.autotuner] Trial 110: win_rate=0.40, avg_guesses=1.88, score=34.38, pop=769, genome=11
[11:08:22] [INFO] [autotune.autotuner] Trial 111: win_rate=0.15, avg_guesses=1.00, score=12.00, pop=490, genome=23
[11:08:34] [INFO] [autotune.autotuner] Trial 116: win_rate=0.25, avg_guesses=1.00, score=22.00, pop=702, genome=29
[11:08:34] [INFO] [autotune.autotuner] Trial  78: win_rate=0.10, avg_guesses=1.50, score=5.50, pop=1445, genome=19
[11:08:44] [INFO] [autotune.autotuner] Trial 108: win_rate=0.25, avg_guesses=1.00, score=22.00, pop=1018, genome=12
[11:09:20] [INFO] [autotune.autotuner] Trial 105: win_rate=0.25, avg_guesses=2.00, score=19.00, pop=895, genome=25
[11:09:37] [INFO] [autotune.autotuner] Trial 109: win_rate=0.40, avg_guesses=1.62, score=35.12, pop=1405, genome=23
[11:09:55] [INFO] [autotune.autotuner] Trial  96: win_rate=0.15, avg_guesses=1.00, score=12.00, pop=1396, genome=13
[11:10:00] [INFO] [autotune.autotuner] Trial 100: win_rate=0.25, avg_guesses=1.00, score=22.00, pop=1072, genome=12
[11:10:25] [INFO] [autotune.autotuner] Trial 119: win_rate=0.20, avg_guesses=2.25, score=13.25, pop=324, genome=26
[11:10:49] [INFO] [autotune.autotuner] Trial 122: win_rate=0.30, avg_guesses=2.67, score=22.00, pop=323, genome=16
[11:10:50] [INFO] [autotune.autotuner] Trial 123: win_rate=0.25, avg_guesses=1.00, score=22.00, pop=611, genome=21
[11:10:53] [INFO] [autotune.autotuner] Trial 112: win_rate=0.30, avg_guesses=1.00, score=27.00, pop=1254, genome=11
[11:11:11] [INFO] [autotune.autotuner] Trial 118: win_rate=0.25, avg_guesses=1.20, score=21.40, pop=714, genome=22
[11:11:39] [INFO] [autotune.autotuner] Trial 121: win_rate=0.10, avg_guesses=2.00, score=4.00, pop=601, genome=23
[11:12:10] [INFO] [autotune.autotuner] Trial 129: win_rate=0.25, avg_guesses=1.80, score=19.60, pop=356, genome=28
[11:12:11] [INFO] [autotune.autotuner] Trial 120: win_rate=0.30, avg_guesses=1.17, score=26.50, pop=767, genome=22
[11:12:14] [INFO] [autotune.autotuner] Trial 124: win_rate=0.50, avg_guesses=1.70, score=44.90, pop=662, genome=22
[11:12:24] [INFO] [autotune.autotuner] Trial 114: win_rate=0.20, avg_guesses=1.00, score=17.00, pop=1365, genome=18
[11:13:08] [INFO] [autotune.autotuner] Trial  99: win_rate=0.15, avg_guesses=1.00, score=12.00, pop=1430, genome=26
[11:13:12] [INFO] [autotune.autotuner] Trial 125: win_rate=0.15, avg_guesses=1.00, score=12.00, pop=646, genome=22
[11:13:17] [INFO] [autotune.autotuner] Trial 117: win_rate=0.40, avg_guesses=1.50, score=35.50, pop=1016, genome=12
[11:13:38] [INFO] [autotune.autotuner] Trial 128: win_rate=0.10, avg_guesses=1.00, score=7.00, pop=1009, genome=24
[11:13:51] [INFO] [autotune.autotuner] Trial 102: win_rate=0.20, avg_guesses=1.75, score=14.75, pop=1447, genome=23
[11:13:53] [INFO] [autotune.autotuner] Trial 126: win_rate=0.25, avg_guesses=1.60, score=20.20, pop=480, genome=11
[11:14:11] [INFO] [autotune.autotuner] Trial 127: win_rate=0.05, avg_guesses=2.00, score=-1.00, pop=1181, genome=19
[11:14:13] [INFO] [autotune.autotuner] Trial 135: win_rate=0.15, avg_guesses=1.33, score=11.00, pop=346, genome=11
[11:14:18] [INFO] [autotune.autotuner] Trial 136: win_rate=0.45, avg_guesses=1.89, score=39.33, pop=864, genome=22
[11:14:22] [INFO] [autotune.autotuner] Trial 115: win_rate=0.35, avg_guesses=1.14, score=31.57, pop=1212, genome=23
[11:14:25] [INFO] [autotune.autotuner] Trial 133: win_rate=0.25, avg_guesses=1.80, score=19.60, pop=360, genome=21
[11:14:28] [INFO] [autotune.autotuner] Trial 113: win_rate=0.05, avg_guesses=1.00, score=2.00, pop=1450, genome=28
[11:14:29] [INFO] [autotune.autotuner] Trial 132: win_rate=0.10, avg_guesses=1.00, score=7.00, pop=780, genome=14
[11:15:10] [INFO] [autotune.autotuner] Trial 139: win_rate=0.30, avg_guesses=1.50, score=25.50, pop=409, genome=13
[11:15:19] [INFO] [autotune.autotuner] Trial 146: win_rate=0.40, avg_guesses=1.75, score=34.75, pop=387, genome=18
[11:15:24] [INFO] [autotune.autotuner] Trial 130: win_rate=0.25, avg_guesses=2.00, score=19.00, pop=997, genome=13
[11:16:00] [INFO] [autotune.autotuner] Trial 143: win_rate=0.35, avg_guesses=2.00, score=29.00, pop=668, genome=13
[11:16:01] [INFO] [autotune.autotuner] Trial 144: win_rate=0.35, avg_guesses=1.29, score=31.14, pop=644, genome=27
[11:16:29] [INFO] [autotune.autotuner] Trial 147: win_rate=0.20, avg_guesses=1.25, score=16.25, pop=1123, genome=14
[11:16:33] [INFO] [autotune.autotuner] Trial 149: win_rate=0.35, avg_guesses=1.14, score=31.57, pop=795, genome=23
[11:16:34] [INFO] [autotune.autotuner] Trial 137: win_rate=0.50, avg_guesses=1.50, score=45.50, pop=1350, genome=15
[11:16:59] [INFO] [autotune.autotuner] Trial 151: win_rate=0.20, avg_guesses=1.00, score=17.00, pop=639, genome=23
[11:16:59] [INFO] [autotune.autotuner] Trial 148: win_rate=0.25, avg_guesses=2.80, score=16.60, pop=642, genome=16
[11:17:37] [INFO] [autotune.autotuner] Trial 134: win_rate=0.30, avg_guesses=1.17, score=26.50, pop=1051, genome=11
[11:17:39] [INFO] [autotune.autotuner] Trial 131: win_rate=0.05, avg_guesses=1.00, score=2.00, pop=720, genome=27
[11:18:03] [INFO] [autotune.autotuner] Trial 153: win_rate=0.30, avg_guesses=1.00, score=27.00, pop=466, genome=29
[11:18:07] [INFO] [autotune.autotuner] Trial 154: win_rate=0.30, avg_guesses=1.83, score=24.50, pop=970, genome=20
[11:18:34] [INFO] [autotune.autotuner] Trial 145: win_rate=0.20, avg_guesses=2.00, score=14.00, pop=1427, genome=26
[11:18:54] [INFO] [autotune.autotuner] Trial 158: win_rate=0.30, avg_guesses=1.67, score=25.00, pop=634, genome=28
[11:19:20] [INFO] [autotune.autotuner] Trial 150: win_rate=0.20, avg_guesses=1.00, score=17.00, pop=1021, genome=24
[11:19:23] [INFO] [autotune.autotuner] Trial 142: win_rate=0.15, avg_guesses=2.00, score=9.00, pop=916, genome=27
[11:19:46] [INFO] [autotune.autotuner] Trial 141: win_rate=0.40, avg_guesses=1.12, score=36.62, pop=936, genome=29
[11:19:58] [INFO] [autotune.autotuner] Trial 162: win_rate=0.20, avg_guesses=1.75, score=14.75, pop=858, genome=27
[11:20:24] [INFO] [autotune.autotuner] Trial 160: win_rate=0.35, avg_guesses=2.14, score=28.57, pop=1349, genome=13
[11:21:05] [INFO] [autotune.autotuner] Trial 161: win_rate=0.35, avg_guesses=2.57, score=27.29, pop=1251, genome=28
[11:21:16] [INFO] [autotune.autotuner] Trial 138: win_rate=0.15, avg_guesses=1.00, score=12.00, pop=968, genome=25
[11:21:51] [INFO] [autotune.autotuner] Trial 157: win_rate=0.40, avg_guesses=2.12, score=33.62, pop=1205, genome=19
[11:22:22] [INFO] [autotune.autotuner] Trial 166: win_rate=0.35, avg_guesses=1.86, score=29.43, pop=765, genome=27
[11:22:41] [INFO] [autotune.autotuner] Trial 170: win_rate=0.55, avg_guesses=1.55, score=50.36, pop=328, genome=14
[11:22:41] [INFO] [autotune.autotuner] New best trial: 170 (score=50.36, win_rate=0.55, avg_guesses=1.55)
[11:22:53] [INFO] [autotune.autotuner] Trial 167: win_rate=0.25, avg_guesses=1.60, score=20.20, pop=604, genome=29
[11:22:56] [INFO] [autotune.autotuner] Trial 159: win_rate=0.35, avg_guesses=1.29, score=31.14, pop=1353, genome=14
[11:23:08] [INFO] [autotune.autotuner] Trial 140: win_rate=0.25, avg_guesses=1.00, score=22.00, pop=1395, genome=18
[11:23:39] [INFO] [autotune.autotuner] Trial 175: win_rate=0.25, avg_guesses=1.60, score=20.20, pop=439, genome=20
[11:24:04] [INFO] [autotune.autotuner] Trial 165: win_rate=0.40, avg_guesses=1.25, score=36.25, pop=1491, genome=27
[11:24:05] [INFO] [autotune.autotuner] Trial 155: win_rate=0.20, avg_guesses=1.25, score=16.25, pop=1132, genome=23
[11:24:21] [INFO] [autotune.autotuner] Trial 156: win_rate=0.05, avg_guesses=1.00, score=2.00, pop=830, genome=23
[11:24:23] [INFO] [autotune.autotuner] Trial 152: win_rate=0.35, avg_guesses=1.14, score=31.57, pop=1301, genome=20
[11:24:37] [INFO] [autotune.autotuner] Trial 171: win_rate=0.40, avg_guesses=1.50, score=35.50, pop=589, genome=10
[11:24:55] [INFO] [autotune.autotuner] Trial 172: win_rate=0.30, avg_guesses=1.67, score=25.00, pop=1256, genome=24
[11:25:14] [INFO] [autotune.autotuner] Trial 174: win_rate=0.30, avg_guesses=1.17, score=26.50, pop=735, genome=18
[11:25:29] [INFO] [autotune.autotuner] Trial 163: win_rate=0.10, avg_guesses=1.50, score=5.50, pop=1074, genome=18
[11:25:31] [INFO] [autotune.autotuner] Trial 181: win_rate=0.45, avg_guesses=2.00, score=39.00, pop=734, genome=13
[11:25:39] [INFO] [autotune.autotuner] Trial 178: win_rate=0.10, avg_guesses=1.50, score=5.50, pop=459, genome=23
[11:25:55] [INFO] [autotune.autotuner] Trial 164: win_rate=0.15, avg_guesses=1.67, score=10.00, pop=1329, genome=19
[11:26:05] [INFO] [autotune.autotuner] Trial 177: win_rate=0.15, avg_guesses=2.33, score=8.00, pop=1146, genome=11
[11:26:14] [INFO] [autotune.autotuner] Trial 169: win_rate=0.25, avg_guesses=2.60, score=17.20, pop=686, genome=28
[11:26:16] [INFO] [autotune.autotuner] Trial 186: win_rate=0.10, avg_guesses=2.00, score=4.00, pop=382, genome=21
[11:26:28] [INFO] [autotune.autotuner] Trial 183: win_rate=0.10, avg_guesses=1.00, score=7.00, pop=424, genome=29
[11:26:59] [INFO] [autotune.autotuner] Trial 179: win_rate=0.20, avg_guesses=1.25, score=16.25, pop=1197, genome=13
[11:27:36] [INFO] [autotune.autotuner] Trial 191: win_rate=0.30, avg_guesses=1.83, score=24.50, pop=794, genome=17
[11:27:44] [INFO] [autotune.autotuner] Trial 176: win_rate=0.10, avg_guesses=1.00, score=7.00, pop=870, genome=11
[11:28:03] [INFO] [autotune.autotuner] Trial 192: win_rate=0.25, avg_guesses=1.00, score=22.00, pop=353, genome=11
[11:28:08] [INFO] [autotune.autotuner] Trial 168: win_rate=0.20, avg_guesses=1.25, score=16.25, pop=1208, genome=26
[11:28:11] [INFO] [autotune.autotuner] Trial 188: win_rate=0.35, avg_guesses=1.43, score=30.71, pop=964, genome=29
[11:28:16] [INFO] [autotune.autotuner] Trial 173: win_rate=0.40, avg_guesses=1.00, score=37.00, pop=1107, genome=24
[11:28:39] [INFO] [autotune.autotuner] Trial 185: win_rate=0.40, avg_guesses=1.88, score=34.38, pop=538, genome=27
[11:29:01] [INFO] [autotune.autotuner] Trial 189: win_rate=0.25, avg_guesses=1.20, score=21.40, pop=545, genome=10
[11:29:15] [INFO] [autotune.autotuner] Trial 190: win_rate=0.20, avg_guesses=1.00, score=17.00, pop=1160, genome=21
[11:29:32] [INFO] [autotune.autotuner] Trial 182: win_rate=0.55, avg_guesses=1.82, score=49.55, pop=1434, genome=15
[11:30:16] [INFO] [autotune.autotuner] Trial 180: win_rate=0.20, avg_guesses=2.75, score=11.75, pop=1159, genome=12
[11:31:04] [INFO] [autotune.autotuner] Trial 195: win_rate=0.05, avg_guesses=1.00, score=2.00, pop=619, genome=10
[11:31:43] [INFO] [autotune.autotuner] Trial 196: win_rate=0.40, avg_guesses=1.00, score=37.00, pop=791, genome=17
[11:32:46] [INFO] [autotune.autotuner] Trial 193: win_rate=0.10, avg_guesses=1.50, score=5.50, pop=1199, genome=15
[11:33:26] [INFO] [autotune.autotuner] Trial 199: win_rate=0.15, avg_guesses=1.67, score=10.00, pop=1050, genome=27
[11:33:34] [INFO] [autotune.autotuner] Trial 197: win_rate=0.25, avg_guesses=1.00, score=22.00, pop=1398, genome=17
[11:33:50] [INFO] [autotune.autotuner] Trial 187: win_rate=0.30, avg_guesses=1.00, score=27.00, pop=1495, genome=13
[11:34:00] [INFO] [autotune.autotuner] Trial 184: win_rate=0.20, avg_guesses=3.75, score=8.75, pop=1347, genome=28
[11:34:08] [INFO] [autotune.autotuner] Trial 194: win_rate=0.10, avg_guesses=2.50, score=2.50, pop=1376, genome=23
[11:36:38] [INFO] [autotune.autotuner] Trial 198: win_rate=0.05, avg_guesses=1.00, score=2.00, pop=1434, genome=26
[11:36:38] [INFO] [autotune.autotuner] Autotune run complete. Results in C:\Users\Éanna Bonner\Documents\Programs\Masters\Block2\GeneticProgramming\EvolutionaryAlgorithms_MathlerSolver\tunes\tune_20251208_103656
